date,title,url
2019-03-20 14:50,Database Administrator (DBA),https://washingtondc.craigslist.org/mld/sof/d/silver-spring-database-administrator-dba/6846165131.html
2019-03-19 15:14,SQL SERVER SSIS SSRS & .NET TRAINING and 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/arlington-sql-server-ssis-ssrs-net/6845346495.html
2019-03-19 14:57,Software Engineering Fellow,https://washingtondc.craigslist.org/doc/sof/d/washington-software-engineering-fellow/6845330043.html
2019-03-19 09:30,Angular Developer,https://washingtondc.craigslist.org/doc/sof/d/washington-angular-developer/6845002661.html
2019-03-19 09:29,✳️ Python/Django Developer,https://washingtondc.craigslist.org/doc/sof/d/herndon-python-django-developer/6845002175.html
2019-03-19 09:29,Full Stack Java Developer,https://washingtondc.craigslist.org/doc/sof/d/washington-full-stack-java-developer/6845001744.html
2019-03-18 12:52,Software Engineer (.NET Developer),https://washingtondc.craigslist.org/doc/sof/d/silver-spring-software-engineer-net/6844340477.html
2019-03-18 10:52,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/ba-qabusiness-analyst-quality-analyst/6844208518.html
2019-03-14 11:39,Analyst/Programmer,https://washingtondc.craigslist.org/mld/sof/d/rockville-analyst-programmer/6841237561.html
2019-03-13 11:55,Release Manager/Configuration Specialist,https://washingtondc.craigslist.org/doc/sof/d/washington-release-manager/6840427361.html
2019-03-12 17:57,Independent Software Tester,https://washingtondc.craigslist.org/doc/sof/d/washington-independent-software-tester/6839950510.html
2019-03-12 16:45,Software Engineering Fellow,https://washingtondc.craigslist.org/doc/sof/d/washington-software-engineering-fellow/6839887974.html
2019-03-11 11:50,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/ba-qabusiness-analyst-quality-analyst/6838724763.html
2019-03-10 15:15,"C# Programmer, Software Engineer",https://washingtondc.craigslist.org/doc/sof/d/merrifield-programmer-software-engineer/6838142448.html
2019-03-08 14:39,Business Analyst - GDPR,https://washingtondc.craigslist.org/doc/sof/d/washington-business-analyst-gdpr/6836666364.html
2019-03-06 10:24,Sr. Database Administrator,https://washingtondc.craigslist.org/doc/sof/d/washington-sr-database-administrator/6834776003.html
2019-03-05 14:28,Software Engineering Fellow,https://washingtondc.craigslist.org/doc/sof/d/washington-software-engineering-fellow/6834203798.html
2019-03-05 11:06,Software Developer (Entry-Level),https://washingtondc.craigslist.org/mld/sof/d/beltsville-software-developer-entry/6833987822.html
2019-03-04 14:02,Meet 40+ Top Employers at the National Capital Region Job Fair on 3/11,https://washingtondc.craigslist.org/doc/sof/d/falls-church-meet-40-top-employers-at/6833347663.html
2019-03-04 13:42,Entry Level Java/J2EE Developer (Needs relocation) (Washington DC),https://washingtondc.craigslist.org/doc/sof/d/entry-level-java-j2ee-developer-needs/6833326615.html
2019-03-04 13:22,Web Project Manager,https://washingtondc.craigslist.org/mld/sof/d/rockville-web-project-manager/6833305549.html
2019-03-04 11:48,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/ba-qabusiness-analyst-quality-analyst/6833201496.html
2019-03-04 10:51,Front End Developer/ Graphic and Web Designer/ IT,https://washingtondc.craigslist.org/doc/sof/d/edgewater-front-end-developer-graphic/6833142160.html
2019-03-04 09:49,SQL SERVER SSIS SSRS & .NET TRAINING and 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/arlington-sql-server-ssis-ssrs-net/6833086193.html
2019-03-03 18:44,Software Developer (Agile),https://washingtondc.craigslist.org/doc/sof/d/springfield-software-developer-agile/6832789856.html
2019-03-03 10:21,Oracle EBS R12 Technical Expert for one year plus,https://washingtondc.craigslist.org/mld/sof/d/gaithersburg-oracle-ebs-r12-technical/6832407559.html
2019-03-02 22:18,ASP.NET MVC / MSSQL - Developer,https://washingtondc.craigslist.org/mld/sof/d/aspnet-mvc-mssql-developer/6832236680.html
2019-03-01 17:26,Sr. Groovy/Ruby Developer,https://washingtondc.craigslist.org/doc/sof/d/washington-sr-groovy-ruby-developer/6831310231.html
2019-03-01 06:25,Collision Repair Technician,https://washingtondc.craigslist.org/mld/sof/d/annapolis-junction-collision-repair/6830784701.html
2019-02-26 12:56,Senior Software Engineer,https://washingtondc.craigslist.org/doc/sof/d/beltsville-senior-software-engineer/6828691275.html
2019-02-26 12:56,Software Engineer,https://washingtondc.craigslist.org/doc/sof/d/college-park-software-engineer/6828691060.html
2019-02-26 12:10,Kronos Configuration Expert,https://washingtondc.craigslist.org/mld/sof/d/rockville-kronos-configuration-expert/6828641010.html
2019-02-25 20:51,Front End Developer/ Graphic and Web Designer/ IT,https://washingtondc.craigslist.org/doc/sof/d/edgewater-front-end-developer-graphic/6828273335.html
2019-02-25 11:07,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://washingtondc.craigslist.org/doc/sof/d/ba-qabusiness-analyst-quality-analyst/6827738270.html
2019-03-08 11:58,ColdFusion Programmer,https://smd.craigslist.org/sof/d/lexington-park-coldfusion-programmer/6836494108.html
2019-03-24 14:09,QA Automation Training (Selenium/Java) with 100% JOB PLACEMENTS,https://annapolis.craigslist.org/sof/d/columbia-qa-automation-training/6849304994.html
2019-03-25 10:35,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://baltimore.craigslist.org/sof/d/ba-qabusiness-analyst-quality-analyst/6849881962.html
2019-03-24 14:13,QA Automation Training (Selenium/Java) with 100% JOB PLACEMENTS,https://baltimore.craigslist.org/sof/d/columbia-qa-automation-training/6849308414.html
2019-03-22 11:45,Transmission & Automotive Shop,https://baltimore.craigslist.org/sof/d/bel-air-transmission-automotive-shop/6847617115.html
2019-03-18 15:07,ERP Project Manager for government agency,https://baltimore.craigslist.org/sof/d/jessup-erp-project-manager-for/6844485868.html
2019-03-17 20:49,"We are local software developers ,no job too small for us!",https://baltimore.craigslist.org/sof/d/white-marsh-we-are-local-software/6843924931.html
2019-03-16 20:57,Startup is looking for a second developer,https://baltimore.craigslist.org/sof/d/catonsville-startup-is-looking-for/6843284542.html
2019-03-15 13:51,Research Engineer,https://baltimore.craigslist.org/sof/d/laurel-research-engineer/6842169597.html
2019-03-11 11:46,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://baltimore.craigslist.org/sof/d/ba-qabusiness-analyst-quality-analyst/6838720382.html
2019-03-11 05:46,IT Job-Oriented Software testing(QA)/BA/ISTQB Training Program,https://baltimore.craigslist.org/sof/d/herndon-it-job-oriented-software/6838521973.html
2019-03-07 18:21,Senior Project Manager for Software Company - Remote,https://baltimore.craigslist.org/sof/d/baltimore-senior-project-manager-for/6836045731.html
2019-03-06 20:42,Senior Software Engineer - SEMA,https://baltimore.craigslist.org/sof/d/baltimore-senior-software-engineer-sema/6835330419.html
2019-03-05 11:17,"Project Manager – Middle River, MD",https://baltimore.craigslist.org/sof/d/middle-river-project-manager-middle/6833998705.html
2019-03-04 10:53,Front End Developer/ Graphic and Web Designer/ IT,https://baltimore.craigslist.org/sof/d/edgewater-front-end-developer-graphic/6833143625.html
2019-03-03 10:13,C# .Net Web Developer,https://baltimore.craigslist.org/sof/d/middle-river-net-web-developer/6832402509.html
2019-02-26 13:03,Senior Software Engineer,https://baltimore.craigslist.org/sof/d/beltsville-senior-software-engineer/6828698307.html
2019-02-25 20:48,Front End Developer/ Graphic and Web Designer/ IT,https://baltimore.craigslist.org/sof/d/edgewater-front-end-developer-graphic/6828271775.html
2019-02-25 11:04,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,https://baltimore.craigslist.org/sof/d/ba-qabusiness-analyst-quality-analyst/6827734935.html
2019-03-24 14:18,QA Automation Training (Selenium/Java) with 100% JOB PLACEMENTS,https://frederick.craigslist.org/sof/d/columbia-qa-automation-training/6849312979.html
2019-03-20 16:00,NOW HIRING! PAID TRAINING - STARING AT $14-$15 P/H - COMPANY TRUCK!,https://frederick.craigslist.org/sof/d/frederick-now-hiring-paid-training/6846233717.html
2019-03-12 17:56,Sr c# developer,https://fredericksburg.craigslist.org/sof/d/stafford-sr-developer/6839950117.html
